140,Bagepalli,INC,S.N. SUBBAREDDY(CHINNAKAYALAPALLI),M,65710,Others,G.V. SREERAMAREDDY,51697,82.60%,197238,14013,CHIKABALLAPUR
141,Chikkaballapur,INC,K SUDHAKAR,M,82006,JDS,K.P.BACHEGOWDA,51575,87.86%,197803,30431,CHIKABALLAPUR
142,Sidlaghatta,INC,S MUNIYAPPA,M,76240,JDS,B.N. RAVIKUMAR,66531,85.45%,198200,9709,CHIKABALLAPUR
143,Chintamani,JDS,J K KRISHNA REDDY,M,87753,BJP,DR.M.C SUDHAKAR,82080,82.02%,214446,5673,CHIKABALLAPUR
144,Srinivasapur,INC,K R RAMESH KUMAR,M,93571,JDS,G K VENKATASHIVAREDDY,83019,88.40%,205932,10552,KOLAR
145,Mulbagal,OTHERS,H.NAGESH,M,74213,JDS,SAMRUDDHI MANJUNATH,67498,79.96%,203376,6715,KOLAR
146,Kolar Gold Field,INC,ROOPA SHASHIDHAR,F,71151,BJP,ASHWINI SAMPANGI,30324,72.28%,190351,40827,KOLAR
147,Bangarapet,INC,S N NARAYANASWAMY,M,70871,JDS,M.MALLESH BABU,49300,80.25%,193106,21571,KOLAR
148,Kolar,JDS,G K VENKATHESHIVA REDDY,M,82788,INC,SYED ZAMEER PASHA,38537,71.22%,225129,44251,KOLAR
149,Malur,INC,K Y NANJEGOWDA,M,75677,JDS,K.S.MANJUNATH GOWDA,57762,87.11%,181079,17915,KOLAR
150,Yelahanka,BJP,S R VISHWANATH,M,120110,JDS,A M HANUMANTHEGOWDA,77607,63.01%,387664,42503,BANGALORE URBAN
151,K.R. Pura,INC,BASAVRAJ BYRATI,M,135404,BJP,N.S.NANDIESHA REDDY,102675,53.08%,465434,32729,B.B.M.P(NORTH)
152,Byatarayanapura,INC,KRISHNA BYREGOWDA,M,114964,BJP,A RAVI,109293,57.39%,440308,5671,BANGALORE URBAN
153,Yeshwanthapura,INC,S.T SOMASHEKHAR,M,115273,JDS,T N JAVARAYI GOWDA,104562,60.19%,474806,10711,BANGALORE URBAN
154,Rajarajeshwarinagar,-,-,M,-,-,-,-,-,471459,-,B.B.M.P (CENTRAL)
155,Dasarahalli,JDS,R.MANJUNATHA,M,94044,BJP,S MUNIRAJU,83369,48.03%,449897,10675,BANGALORE URBAN
156,Mahalakshmi Layout,JDS,K. GOPALAIAH,M,88218,BJP,N.L. NARENDRA BABU,47118,54.72%,292332,41100,B.B.M.P(NORTH)
157,Malleshwaram,BJP,ASHWATH NARAYAN,M,83130,INC,KENGAL SHREEPADHARENU,29130,56.29%,218922,54000,B.B.M.P(NORTH)
158,Hebbal,INC,BYRATI SURESH,M,74453,BJP,Y A NARAYANASWAMY,53313,54.98%,265312,21140,B.B.M.P(NORTH)
159,Pulakeshinagar,INC,AKHANDA SRINIVAS MURTHY,M,97574,JDS,B. PRASANNAKUMAR,15948,53.24%,237288,81626,B.B.M.P(NORTH)
160,Sarvagnannagar,INC,K J GEORGE,M,109955,BJP,M.N.REDDY,56651,51.19%,347506,53304,B.B.M.P(NORTH)
161,C.V. Raman Nagar,BJP,S. RAGHU,M,58887,INC,R. SAMPATH RAJ,46660,48.98%,269010,12227,B.B.M.P(NORTH)
162,Shivajinagar,INC,ROSHAN BAIG,M,59742,BJP,KATTA SUBRAMANYA NAIDU,44702,54.10%,196776,15040,B.B.M.P (CENTRAL)
163,Shantinagar,INC,N A HARIS,M,60009,BJP,K VASUDEVAMURTHY,41804,55.12%,226046,18205,B.B.M.P (CENTRAL)
